Species	Molecular weight	Collision diameter	kb* inverse  Collision energy (k/eps)
c7ket4-2-2	0.146	5.99e-10	0.00182865502422968
c8ooh1-2	0.146	6.27e-10	0.00163174727498205
c6h101ooh4-5o2	0.147	6.436e-10	0.00147677985199712
c6h101ooh6-5o2	0.147	6.436e-10	0.00147677985199712
c6h12ooh1-2o2	0.149	6.436e-10	0.00147677985199712
c11h22-6-2	0.154	6.68e-10	0.00145747099632717
c11h23-3	0.155	6.8e-10	0.0013259082471493
c10o2-4	0.156	6.69e-10	0.00141860069227714
c10h20o1-2-2	0.156	6.4e-10	0.00153176888671037
ic9h19cho	0.156	6.68e-10	0.00145749223885383
c10h21o-6-2	0.157	6.4e-10	0.00153176888671037
c9ooh3-5	0.159	6.49e-10	0.00151768098345728
c9ooh7-2f	0.159	6.4e-10	0.00153176888671037
c9ooh1-3	0.159	6.49e-10	0.00151768098345728
c9ooh2-5	0.159	6.49e-10	0.00151768098345728
c9ooh1-2b	0.159	6.4e-10	0.00153176888671037
c8ket3-5-2	0.16	6.24e-10	0.00167768345468577
c9h19ooh-3-2	0.16	6.4e-10	0.00153176888671037
c9h19ooh-1-2	0.16	6.4e-10	0.00153176888671037
c8ket5-7-2	0.16	6.24e-10	0.00167768345468577
c8ket3-1-2	0.16	6.24e-10	0.00167768345468577
c7ooh3-oo4-2	0.163	5.99e-10	0.00182865502422968
c7h14ooh1-4o2	0.163	7.229e-10	0.00166500166500167
c7h14ooh2-6o2	0.163	7.229e-10	0.00166500166500167
c12h24-1-2	0.168	7.12e-10	0.00119935714457051
nc7h15coc3h6p	0.169	7.11e-10	0.00119937152931864
c12h25-4	0.169	7.06e-10	0.0012671701556085
c11o3-6	0.17	6.8e-10	0.0013259082471493
c11h22o5-6-2	0.17	6.68e-10	0.00145747099632717
c11h22o1-4-2	0.17	6.68e-10	0.00145747099632717
c11h23o-2	0.171	6.8e-10	0.0013259082471493
c10ooh8-2d	0.173	6.4e-10	0.00153176888671037
c10ooh3-2e	0.173	6.4e-10	0.00153176888671037
c10h21oo-1-2	0.173	6.4e-10	0.00153176888671037
c10ooh3-5	0.173	6.69e-10	0.00141860069227714
c10ooh4-2g	0.173	6.4e-10	0.00153176888671037
c10ooh2-6	0.173	6.69e-10	0.00141860069227714
c9ket4-7	0.174	6.49e-10	0.00151768098345728
c9ket4-1-2	0.174	6.4e-10	0.00153176888671037
c10h21ooh-7-2	0.174	6.4e-10	0.00153176888671037
c9ket1-5-2	0.174	6.4e-10	0.00153176888671037
c9ket3-4-2	0.174	6.4e-10	0.00153176888671037
c8ooh2-4o2	0.177	6.27e-10	0.00163174727498205
c8ooh3-6o2	0.177	6.27e-10	0.00163174727498205
c8ooh5-oo7-2	0.177	6.24e-10	0.00167768345468577
c8ooh1-oo4-2	0.177	6.24e-10	0.00167768345468577
c13h26-3-2	0.182	7.24e-10	0.00113428840416964
ic8h17coc3h6p	0.183	7.11e-10	0.00119937152931864
c13h27-6	0.183	7.27e-10	0.00120989207762668
c12h24o5-6-2	0.184	7.12e-10	0.00119935714457051
c12h24o1-2-2	0.184	7.12e-10	0.00119935714457051
c12h24o6-10-2	0.184	7.12e-10	0.00119935714457051
c12o1-2	0.184	7.06e-10	0.0012671701556085
c12h25o-6-2	0.185	7.12e-10	0.00119935714457051
c11ooh3-4	0.187	6.8e-10	0.0013259082471493
c11ooh4-2c	0.187	6.68e-10	0.00145747099632717
c11ooh1-2b	0.187	6.68e-10	0.00145747099632717
c11ooh1-3	0.187	6.8e-10	0.0013259082471493
c11ooh8-2e	0.187	6.68e-10	0.00145747099632717
c11ooh4-1	0.187	6.8e-10	0.0013259082471493
c11h23ooh-10-2	0.188	6.68e-10	0.00145747099632717
c10ket1-5-2	0.188	6.4e-10	0.00153176888671037
c11ooh4-2	0.188	6.8e-10	0.0013259082471493
c10ket5-7-2	0.188	6.4e-10	0.00153176888671037
c10ket5-1	0.188	6.69e-10	0.00141860069227714
c10ket7-9-2	0.188	6.4e-10	0.00153176888671037
c9ooh7-oo6-2	0.191	6.4e-10	0.00153176888671037
c9ooh2-oo6-2	0.191	6.4e-10	0.00153176888671037
c9ooh4-oo2-2	0.191	6.4e-10	0.00153176888671037
c9ooh4-oo5-2	0.191	6.4e-10	0.00153176888671037
c9ooh4-3o2	0.191	6.49e-10	0.00151768098345728
c14h28-2-2	0.196	7.36e-10	0.00107580093379521
nc11h23coch2	0.197	7.35e-10	0.00107581250739621
c14h29-1	0.197	7.48e-10	0.00116661611330176
c13h26o7-11-2	0.198	7.24e-10	0.00113428840416964
c13o2-4	0.198	7.27e-10	0.00120989207762668
c13o3-6	0.198	7.27e-10	0.00120989207762668
c13h26o11-12-2	0.198	7.24e-10	0.00113428840416964
c13h27o-2-2	0.199	7.24e-10	0.00113428840416964
c12ooh3-6	0.201	7.06e-10	0.0012671701556085
c12ooh1-2a	0.201	7.12e-10	0.00119935714457051
c12h25oo-11-2	0.201	7.12e-10	0.00119935714457051
c12ooh2-2a	0.201	7.12e-10	0.00119935714457051
c12ooh9-2j	0.201	7.12e-10	0.00119935714457051
c12ooh5-7	0.201	7.06e-10	0.0012671701556085
c12ooh6-2d	0.201	7.12e-10	0.00119935714457051
c12ooh1-2d	0.201	7.12e-10	0.00119935714457051
c11ket4-5	0.202	6.8e-10	0.0013259082471493
c11ket4-6	0.202	6.8e-10	0.0013259082471493
c11ket5-8	0.202	6.8e-10	0.0013259082471493
c11ket7-8-2	0.202	6.68e-10	0.00145747099632717
c11ket9-7-2	0.202	6.68e-10	0.00145747099632717
c11ket5-4-2	0.202	6.68e-10	0.00145747099632717
c12h25ooh-7-2	0.202	7.12e-10	0.00119935714457051
c10ooh4-5o2	0.205	6.69e-10	0.00141860069227714
c10ooh4-8o2	0.205	6.69e-10	0.00141860069227714
c10ooh7-oo8-2	0.205	6.4e-10	0.00153176888671037
c10ooh5-oo1-2	0.205	6.4e-10	0.00153176888671037
c10ooh4-6o2	0.205	6.69e-10	0.00141860069227714
c15h30-12-2	0.21	7.46e-10	0.00102285047971688
nc12h25chco	0.21	7.46e-10	0.00102285047971688
c15h31-2h	0.211	7.46e-10	0.00102285047971688
nc10h21coc3h6p	0.211	7.46e-10	0.00102285047971688
c14h28o3-5-2	0.212	7.36e-10	0.00107580093379521
c14h28o11-12-2	0.212	7.36e-10	0.00107580093379521
c14o2-3	0.212	7.48e-10	0.00116661611330176
c14h28o10-13-2	0.212	7.36e-10	0.00107580093379521
c14h29o-10-2	0.213	7.36e-10	0.00107580093379521
c13ooh2-3	0.215	7.27e-10	0.00120989207762668
c13h27oo-10-2	0.215	7.24e-10	0.00113428840416964
c13ooh6-2h	0.215	7.24e-10	0.00113428840416964
c13ooh4-2h	0.215	7.24e-10	0.00113428840416964
c13ooh5-7	0.215	7.27e-10	0.00120989207762668
c13ooh7-5	0.215	7.27e-10	0.00120989207762668
c13ooh2-5	0.215	7.27e-10	0.00120989207762668
c13ooh9-2g	0.215	7.24e-10	0.00113428840416964
c13ooh4-2g	0.215	7.24e-10	0.00113428840416964
c13h27o2h-3	0.216	7.27e-10	0.00120989207762668
c12ket9-10-2	0.216	7.12e-10	0.00119935714457051
c12ket5-8	0.216	7.06e-10	0.0012671701556085
c12ket3-7-2	0.216	7.12e-10	0.00119935714457051
c12ket5-9-2	0.216	7.12e-10	0.00119935714457051
c12ket4-5	0.216	7.06e-10	0.0012671701556085
c12ket8-7-2	0.216	7.12e-10	0.00119935714457051
c12ket10-7-2	0.216	7.12e-10	0.00119935714457051
c11ooh3-7o2	0.219	6.8e-10	0.0013259082471493
c11ooh6oo10-2	0.219	6.68e-10	0.00145747099632717
c11ooh5-1o2	0.219	6.8e-10	0.0013259082471493
c11ooh7-oo3-2	0.219	6.68e-10	0.00145747099632717
c11ooh5-3o2	0.219	6.8e-10	0.0013259082471493
c16h31	0.223	7.7e-10	0.00105958019432701
c16h32-14-2	0.224	7.56e-10	0.000974611373714731
c11coc3h6p	0.225	6.8e-10	0.0013259082471493
c16h33-1	0.225	7.73e-10	0.00106505346568398
c15h30o9-12-2	0.226	7.46e-10	0.00102285047971688
c15h30o7-10-2	0.226	7.46e-10	0.00102285047971688
c15h30o5-7-2	0.226	7.46e-10	0.00102285047971688
ic14h29cho	0.226	7.46e-10	0.00102285047971688
c15o1-4	0.226	7.58e-10	0.00110513112380784
c15h31o-8-2	0.227	7.46e-10	0.00102285047971688
c14ooh7-2f	0.229	7.36e-10	0.00107580093379521
c14ooh11-2j	0.229	7.36e-10	0.00107580093379521
c14ooh7-2e	0.229	7.36e-10	0.00107580093379521
c14ooh13-2l	0.229	7.36e-10	0.00107580093379521
c14ooh10-2l	0.229	7.36e-10	0.00107580093379521
c14ooh6-2h	0.229	7.36e-10	0.00107580093379521
c14ooh4-2f	0.229	7.36e-10	0.00107580093379521
c14ooh6-7	0.229	7.48e-10	0.00116661611330176
c14ooh10-2m	0.229	7.36e-10	0.00107580093379521
c14ooh4-2c	0.229	7.36e-10	0.00107580093379521
c13ket2-4	0.23	7.27e-10	0.00120989207762668
c13ket4-3-2	0.23	7.24e-10	0.00113428840416964
c13ket2-3	0.23	7.27e-10	0.00120989207762668
c13ket4-7-2	0.23	7.24e-10	0.00113428840416964
c13ket5-4	0.23	7.27e-10	0.00120989207762668
c13ket3-7-2	0.23	7.24e-10	0.00113428840416964
c13ket5-8	0.23	7.27e-10	0.00120989207762668
c14h29ooh-7-2	0.23	7.36e-10	0.00107580093379521
c12ooh11oo10-2	0.233	7.12e-10	0.00119935714457051
c12ooh8-oo5-2	0.233	7.12e-10	0.00119935714457051
c12ooh1-oo5-2	0.233	7.12e-10	0.00119935714457051
c12ooh5-oo2-2	0.233	7.12e-10	0.00119935714457051
c12ooh6-oo9-2	0.233	7.12e-10	0.00119935714457051
c12ooh6-oo3-2	0.233	7.12e-10	0.00119935714457051
c12ooh5-8o2	0.233	7.06e-10	0.0012671701556085
c17h34-10-2	0.238	7.65e-10	0.00093042297028229
nc14h29coch2	0.239	7.64e-10	0.00093042297028229
c17h35-2j	0.239	7.65e-10	0.00093042297028229
c16h32o9-11-2	0.24	7.56e-10	0.000974611373714731
nc15h31cho	0.24	7.73e-10	0.00106505346568398
c16h32o5-9-2	0.24	7.56e-10	0.000974611373714731
c16o6-8	0.24	7.73e-10	0.00106505346568398
c16h32o12-14-2	0.24	7.56e-10	0.000974611373714731
c16h33o-1-2	0.241	7.56e-10	0.000974611373714731
c15ooh5-2g	0.243	7.46e-10	0.00102285047971688
c15ooh10-2n	0.243	7.46e-10	0.00102285047971688
c15ooh6-2e	0.243	7.46e-10	0.00102285047971688
c15h31o2-4	0.243	7.58e-10	0.00110513112380784
c15ooh4-8	0.243	7.58e-10	0.00110513112380784
c15h31o2-2	0.243	7.58e-10	0.00110513112380784
c15h31oo-13-2	0.243	7.46e-10	0.00102285047971688
c15ooh13-2i	0.243	7.46e-10	0.00102285047971688
c15ooh3-2d	0.243	7.46e-10	0.00102285047971688
c15ooh6-3	0.243	7.58e-10	0.00110513112380784
c15h31ooh-5-2	0.244	7.46e-10	0.00102285047971688
c14ket1-3	0.244	7.48e-10	0.00116661611330176
c14ket7-10	0.244	7.48e-10	0.00116661611330176
c14ket8-12-2	0.244	7.36e-10	0.00107580093379521
c14ket4-1	0.244	7.48e-10	0.00116661611330176
c14ket3-1-2	0.244	7.36e-10	0.00107580093379521
c14ket9-13-2	0.244	7.36e-10	0.00107580093379521
c14ket1-3-2	0.244	7.36e-10	0.00107580093379521
c14ket1-1-2	0.244	7.36e-10	0.00107580093379521
c15ooh3-2	0.244	7.58e-10	0.00110513112380784
c13ooh2-4o2	0.247	7.27e-10	0.00120989207762668
c13ooh5-oo4-2	0.247	7.24e-10	0.00113428840416964
c13ooh8-oo9-2	0.247	7.24e-10	0.00113428840416964
c13ooh5-3o2	0.247	7.27e-10	0.00120989207762668
c13ooh2-oo1-2	0.247	7.24e-10	0.00113428840416964
c13ooh4-6o2	0.247	7.27e-10	0.00120989207762668
c13ooh6-oo9-2	0.247	7.24e-10	0.00113428840416964
c18h35-1-2	0.251	7.72e-10	0.000889750958706658
c18h36-15-2	0.252	7.72e-10	0.000889750958706658
c18h37-2j	0.253	7.72e-10	0.000889750958706658
c17h34o15-16-2	0.254	7.65e-10	0.00093042297028229
c17h34o2-3-2	0.254	7.65e-10	0.00093042297028229
c17h34o10-14-2	0.254	7.65e-10	0.00093042297028229
c17h34o12-15-2	0.254	7.65e-10	0.00093042297028229
c17h35o-3-2	0.255	7.65e-10	0.00093042297028229
c16ooh6-4	0.257	7.73e-10	0.00106505346568398
c16ooh3-2f	0.257	7.56e-10	0.000974611373714731
c16ooh4-2f	0.257	7.56e-10	0.000974611373714731
c16h33o2-4	0.257	7.73e-10	0.00106505346568398
c16ooh5-8	0.257	7.73e-10	0.00106505346568398
c16ooh7-8	0.257	7.73e-10	0.00106505346568398
c16h33oo-3-2	0.257	7.56e-10	0.000974611373714731
c16ooh6-5	0.257	7.73e-10	0.00106505346568398
c16ooh9-2h	0.257	7.56e-10	0.000974611373714731
c16ooh5-9	0.257	7.73e-10	0.00106505346568398
c16ooh3-2b	0.257	7.56e-10	0.000974611373714731
c15ket5-2-2	0.258	7.46e-10	0.00102285047971688
c15ket3-6-2	0.258	7.46e-10	0.00102285047971688
c15ket6-8-2	0.258	7.46e-10	0.00102285047971688
c15ket11-10-2	0.258	7.46e-10	0.00102285047971688
c15ket12-8-2	0.258	7.46e-10	0.00102285047971688
c15ket8-11-2	0.258	7.46e-10	0.00102285047971688
c15ket8-12-2	0.258	7.46e-10	0.00102285047971688
c15ket9-6-2	0.258	7.46e-10	0.00102285047971688
c15ket2-3	0.258	7.58e-10	0.00110513112380784
c15ket7-4	0.258	7.58e-10	0.00110513112380784
c14ooh9oo10-2	0.261	7.36e-10	0.00107580093379521
c14ooh4-6o2	0.261	7.48e-10	0.00116661611330176
c14ooh8oo11-2	0.261	7.36e-10	0.00107580093379521
c14ooh4-oo1-2	0.261	7.36e-10	0.00107580093379521
c14ooh3-2o2	0.261	7.48e-10	0.00116661611330176
c14ooh4-oo2-2	0.261	7.36e-10	0.00107580093379521
c14ooh1-oo2-2	0.261	7.36e-10	0.00107580093379521
c14ooh8-oo5-2	0.261	7.36e-10	0.00107580093379521
c19h37-1-2	0.265	7.79e-10	0.000852158944686363
c19h38-7-2	0.266	7.79e-10	0.000852158944686363
c19h39-2o	0.267	7.79e-10	0.000852158944686363
c18h36o7-11-2	0.268	7.72e-10	0.000889750958706658
c18h36o14-16-2	0.268	7.72e-10	0.000889750958706658
c18h36o8-12-2	0.268	7.72e-10	0.000889750958706658
c18h36o12-16-2	0.268	7.72e-10	0.000889750958706658
c18h37o-2-2	0.269	7.72e-10	0.000889750958706658
c17ooh12-2p	0.271	7.65e-10	0.00093042297028229
c17ooh13-2p	0.271	7.65e-10	0.00093042297028229
c17ooh11-2g	0.271	7.65e-10	0.00093042297028229
c17ooh14-2p	0.271	7.65e-10	0.00093042297028229
c17h35oo-2-2	0.271	7.65e-10	0.00093042297028229
c17ooh9-2f	0.271	7.65e-10	0.00093042297028229
c17ooh15-2k	0.271	7.65e-10	0.00093042297028229
c17ooh7-2f	0.271	7.65e-10	0.00093042297028229
c16ket3-7-2	0.272	7.56e-10	0.000974611373714731
c16ket7-5-2	0.272	7.56e-10	0.000974611373714731
c16ket10-13-2	0.272	7.56e-10	0.000974611373714731
c16ket6-4-2	0.272	7.56e-10	0.000974611373714731
c16ket5-7-2	0.272	7.56e-10	0.000974611373714731
c16ket9-5-2	0.272	7.56e-10	0.000974611373714731
c16ket5-3	0.272	7.73e-10	0.00106505346568398
c16ket1-2-2	0.272	7.56e-10	0.000974611373714731
c16ket7-8	0.272	7.73e-10	0.00106505346568398
c16ket8-9-2	0.272	7.56e-10	0.000974611373714731
c15ooh13oo12-2	0.275	7.46e-10	0.00102285047971688
c15ooh5-6o2	0.275	7.58e-10	0.00110513112380784
c15ooh1-5o2	0.275	7.58e-10	0.00110513112380784
c15ooh10oo11-2	0.275	7.46e-10	0.00102285047971688
c15ooh1-3o2	0.275	7.58e-10	0.00110513112380784
c15ooh3-oo2-2	0.275	7.46e-10	0.00102285047971688
c15ooh4-oo7-2	0.275	7.46e-10	0.00102285047971688
c15ooh3-4o2	0.275	7.58e-10	0.00110513112380784
c15ooh7-oo5-2	0.275	7.46e-10	0.00102285047971688
c20h40-11-2	0.28	7.86e-10	0.00081727390117524
c20h41-2i	0.281	7.86e-10	0.00081727390117524
c20h41-2n	0.281	7.86e-10	0.00081727390117524
c19h38o1-1-2	0.282	7.79e-10	0.000852158944686363
c19h38o9-13-2	0.282	7.79e-10	0.000852158944686363
c19h38o15-18-2	0.282	7.79e-10	0.000852158944686363
c19h38o7-11-2	0.282	7.79e-10	0.000852158944686363
c19h39o-14-2	0.283	7.79e-10	0.000852158944686363
c18ooh10-2f	0.285	7.72e-10	0.000889750958706658
c18ooh1-2e	0.285	7.72e-10	0.000889750958706658
c18ooh4-2c	0.285	7.72e-10	0.000889750958706658
c18ooh1-2b	0.285	7.72e-10	0.000889750958706658
c18ooh14-2p	0.285	7.72e-10	0.000889750958706658
c18ooh9-2f	0.285	7.72e-10	0.000889750958706658
c18h37oo-5-2	0.285	7.72e-10	0.000889750958706658
c18h37oo-3-2	0.285	7.72e-10	0.000889750958706658
c18ooh12-2o	0.285	7.72e-10	0.000889750958706658
c17ket6-9-2	0.286	7.65e-10	0.00093042297028229
c17ket7-4-2	0.286	7.65e-10	0.00093042297028229
c17ket11-7-2	0.286	7.65e-10	0.00093042297028229
c17ket9-8-2	0.286	7.65e-10	0.00093042297028229
c17ket5-8-2	0.286	7.65e-10	0.00093042297028229
c18h37ooh-12-2	0.286	7.72e-10	0.000889750958706658
c17ket4-8-2	0.286	7.65e-10	0.00093042297028229
c16ooh8-5o2	0.289	7.73e-10	0.00106505346568398
c16ooh2-oo4-2	0.289	7.56e-10	0.000974611373714731
c16ooh13oo12-2	0.289	7.56e-10	0.000974611373714731
c16ooh8-4o2	0.289	7.73e-10	0.00106505346568398
c16ooh5-1o2	0.289	7.73e-10	0.00106505346568398
c16ooh11oo8-2	0.289	7.56e-10	0.000974611373714731
c16ooh1-2o2	0.289	7.73e-10	0.00106505346568398
c16ooh9-oo5-2	0.289	7.56e-10	0.000974611373714731
c16ooh7-3o2	0.289	7.73e-10	0.00106505346568398
c16ooh10oo6-2	0.289	7.56e-10	0.000974611373714731
c20h40o8-10-2	0.296	7.86e-10	0.00081727390117524
c20h40o13-15-2	0.296	7.86e-10	0.00081727390117524
c20h40o13-16-2	0.296	7.86e-10	0.00081727390117524
c20h40o9-13-2	0.296	7.86e-10	0.00081727390117524
c20h41o-8-2	0.297	7.86e-10	0.00081727390117524
c19ooh16-2q	0.299	7.79e-10	0.000852158944686363
c19h39oo-12-2	0.299	7.79e-10	0.000852158944686363
c19ooh17-2o	0.299	7.79e-10	0.000852158944686363
c19ooh12-2j	0.299	7.79e-10	0.000852158944686363
c19ooh10-2k	0.299	7.79e-10	0.000852158944686363
c19ooh7-2i	0.299	7.79e-10	0.000852158944686363
c19ooh7-2e	0.299	7.79e-10	0.000852158944686363
c19h39oo-11-2	0.299	7.79e-10	0.000852158944686363
c19ooh2-2e	0.299	7.79e-10	0.000852158944686363
c18ket4-3-2	0.3	7.72e-10	0.000889750958706658
c18ket12-13-2	0.3	7.72e-10	0.000889750958706658
c18ket13-14-2	0.3	7.72e-10	0.000889750958706658
c18ket11-15-2	0.3	7.72e-10	0.000889750958706658
c18ket5-2-2	0.3	7.72e-10	0.000889750958706658
c18ket9-13-2	0.3	7.72e-10	0.000889750958706658
c18ket12-9-2	0.3	7.72e-10	0.000889750958706658
c19h39ooh-15-2	0.3	7.79e-10	0.000852158944686363
c17ooh16oo15-2	0.303	7.65e-10	0.00093042297028229
c17ooh8oo12-2	0.303	7.65e-10	0.00093042297028229
c17ooh8oo10-2	0.303	7.65e-10	0.00093042297028229
c17ooh12oo8-2	0.303	7.65e-10	0.00093042297028229
c17ooh4-oo8-2	0.303	7.65e-10	0.00093042297028229
c17ooh13oo9-2	0.303	7.65e-10	0.00093042297028229
c17ooh13oo16-2	0.303	7.65e-10	0.00093042297028229
c20ooh7-2d	0.313	7.86e-10	0.00081727390117524
c20ooh11-2o	0.313	7.86e-10	0.00081727390117524
c20ooh1-2c	0.313	7.86e-10	0.00081727390117524
c20ooh10-2l	0.313	7.86e-10	0.00081727390117524
c20ooh11-2n	0.313	7.86e-10	0.00081727390117524
c20ooh10-2f	0.313	7.86e-10	0.00081727390117524
c20ooh14-2m	0.313	7.86e-10	0.00081727390117524
c20ooh15-2n	0.313	7.86e-10	0.00081727390117524
c20ooh12-2h	0.313	7.86e-10	0.00081727390117524
c20ooh9-2f	0.313	7.86e-10	0.00081727390117524
c20h41ooh-7-2	0.314	7.86e-10	0.00081727390117524
c19ket11-15-2	0.314	7.79e-10	0.000852158944686363
c19ket5-2-2	0.314	7.79e-10	0.000852158944686363
c19ket3-5-2	0.314	7.79e-10	0.000852158944686363
c19ket10-13-2	0.314	7.79e-10	0.000852158944686363
c19ket8-12-2	0.314	7.79e-10	0.000852158944686363
c19ket9-5-2	0.314	7.79e-10	0.000852158944686363
c19ket10-12-2	0.314	7.79e-10	0.000852158944686363
c18ooh15oo16-2	0.317	7.72e-10	0.000889750958706658
c18ooh13oo11-2	0.317	7.72e-10	0.000889750958706658
c18ooh10oo7-2	0.317	7.72e-10	0.000889750958706658
c18ooh7-oo3-2	0.317	7.72e-10	0.000889750958706658
c18ooh5-oo1-2	0.317	7.72e-10	0.000889750958706658
c18ooh11oo8-2	0.317	7.72e-10	0.000889750958706658
c18ooh5-oo6-2	0.317	7.72e-10	0.000889750958706658
c18ooh11oo9-2	0.317	7.72e-10	0.000889750958706658
c20ket10-13-2	0.328	7.86e-10	0.00081727390117524
c20ket9-7-2	0.328	7.86e-10	0.00081727390117524
c20ket12-9-2	0.328	7.86e-10	0.00081727390117524
c20ket16-15-2	0.328	7.86e-10	0.00081727390117524
c20ket15-12-2	0.328	7.86e-10	0.00081727390117524
c20ket6-4-2	0.328	7.86e-10	0.00081727390117524
c20ket6-10-2	0.328	7.86e-10	0.00081727390117524
c20ket5-7-2	0.328	7.86e-10	0.00081727390117524
c19ooh9-oo5-2	0.331	7.79e-10	0.000852158944686363
c19ooh2-oo1-2	0.331	7.79e-10	0.000852158944686363
c19ooh10oo6-2	0.331	7.79e-10	0.000852158944686363
c19ooh5-oo1-2	0.331	7.79e-10	0.000852158944686363
c19ooh9-oo6-2	0.331	7.79e-10	0.000852158944686363
c19ooh7oo10-2	0.331	7.79e-10	0.000852158944686363
c19ooh18oo15-2	0.331	7.79e-10	0.000852158944686363
c20ooh12oo10-2	0.345	7.86e-10	0.00081727390117524
c20ooh12oo14-2	0.345	7.86e-10	0.00081727390117524
c20ooh11oo14-2	0.345	7.86e-10	0.00081727390117524
c20ooh11oo8-2	0.345	7.86e-10	0.00081727390117524
c20ooh10oo14-2	0.345	7.86e-10	0.00081727390117524
c20ooh4-oo8-2	0.345	7.86e-10	0.00081727390117524
c20ooh10oo7-2	0.345	7.86e-10	0.00081727390117524
c20ooh15oo16-2	0.345	7.86e-10	0.00081727390117524
c20ooh5-oo7-2	0.345	7.86e-10	0.00081727390117524
c20ooh3-oo2-2	0.345	7.86e-10	0.00081727390117524
