Species	Molecular weight	Collision diameter	kb* inverse  Collision energy (k/eps)
c19ket11-15-2	0.314	7.79e-10	0.000852158944686363
c19ket3-5-2	0.314	7.79e-10	0.000852158944686363
c19ket8-12-2	0.314	7.79e-10	0.000852158944686363
c19ket10-12-2	0.314	7.79e-10	0.000852158944686363
c18ooh13oo11-2	0.317	7.72e-10	0.000889750958706658
c18ooh7-oo3-2	0.317	7.72e-10	0.000889750958706658
c18ooh11oo8-2	0.317	7.72e-10	0.000889750958706658
c18ooh11oo9-2	0.317	7.72e-10	0.000889750958706658
c20ket9-7-2	0.328	7.86e-10	0.00081727390117524
c20ket16-15-2	0.328	7.86e-10	0.00081727390117524
c20ket6-4-2	0.328	7.86e-10	0.00081727390117524
c20ket5-7-2	0.328	7.86e-10	0.00081727390117524
c19ooh2-oo1-2	0.331	7.79e-10	0.000852158944686363
c19ooh5-oo1-2	0.331	7.79e-10	0.000852158944686363
c19ooh7oo10-2	0.331	7.79e-10	0.000852158944686363
c20ooh12oo10-2	0.345	7.86e-10	0.00081727390117524
c20ooh11oo14-2	0.345	7.86e-10	0.00081727390117524
c20ooh10oo14-2	0.345	7.86e-10	0.00081727390117524
c20ooh10oo7-2	0.345	7.86e-10	0.00081727390117524
c20ooh5-oo7-2	0.345	7.86e-10	0.00081727390117524
c20ooh3-oo2-2	0.345	7.86e-10	0.00081727390117524
